/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 12.09913158416748, acc1 is 1.5625, acc5 is 7.12890625, cma_loss is 10.7254638671875, uma_loss is 1.373667597770691
loss is 12.040334701538086, acc1 is 0.9765625, acc5 is 7.71484375, cma_loss is 10.646110534667969, uma_loss is 1.3942238092422485
loss is 12.016749382019043, acc1 is 1.7578125, acc5 is 8.69140625, cma_loss is 10.656658172607422, uma_loss is 1.360091209411621
loss is 11.923614501953125, acc1 is 1.953125, acc5 is 8.984375, cma_loss is 10.597755432128906, uma_loss is 1.3258593082427979
loss is 11.81972599029541, acc1 is 2.44140625, acc5 is 8.0078125, cma_loss is 10.568954467773438, uma_loss is 1.250771164894104
loss is 11.64284896850586, acc1 is 2.05078125, acc5 is 8.69140625, cma_loss is 10.425270080566406, uma_loss is 1.2175791263580322
loss is 11.829968452453613, acc1 is 1.953125, acc5 is 9.27734375, cma_loss is 10.591426849365234, uma_loss is 1.238541603088379
loss is 11.693246841430664, acc1 is 2.05078125, acc5 is 8.7890625, cma_loss is 10.526229858398438, uma_loss is 1.1670172214508057
loss is 11.648869514465332, acc1 is 1.85546875, acc5 is 8.7890625, cma_loss is 10.367088317871094, uma_loss is 1.2817811965942383
loss is 11.790762901306152, acc1 is 1.7578125, acc5 is 8.59375, cma_loss is 10.51773452758789, uma_loss is 1.2730287313461304
loss is 11.499224662780762, acc1 is 3.02734375, acc5 is 10.9375, cma_loss is 10.333133697509766, uma_loss is 1.1660912036895752
loss is 11.777732849121094, acc1 is 1.3671875, acc5 is 8.59375, cma_loss is 10.550968170166016, uma_loss is 1.2267649173736572
loss is 11.608464241027832, acc1 is 1.66015625, acc5 is 8.69140625, cma_loss is 10.48025894165039, uma_loss is 1.1282052993774414
loss is 11.758176803588867, acc1 is 1.5625, acc5 is 7.91015625, cma_loss is 10.579402923583984, uma_loss is 1.1787735223770142
loss is 11.497190475463867, acc1 is 2.1484375, acc5 is 9.5703125, cma_loss is 10.38839340209961, uma_loss is 1.1087970733642578
loss is 11.519351959228516, acc1 is 2.1484375, acc5 is 8.984375, cma_loss is 10.381885528564453, uma_loss is 1.1374667882919312
loss is 11.42279052734375, acc1 is 2.05078125, acc5 is 9.375, cma_loss is 10.35689926147461, uma_loss is 1.0658907890319824
loss is 11.294795989990234, acc1 is 2.734375, acc5 is 10.64453125, cma_loss is 10.249244689941406, uma_loss is 1.0455515384674072
loss is 11.22133731842041, acc1 is 3.3203125, acc5 is 12.98828125, cma_loss is 10.130485534667969, uma_loss is 1.090851902961731
loss is 11.20882797241211, acc1 is 2.1484375, acc5 is 11.23046875, cma_loss is 10.116962432861328, uma_loss is 1.0918653011322021
loss is 11.214705467224121, acc1 is 2.5390625, acc5 is 10.546875, cma_loss is 10.213226318359375, uma_loss is 1.0014795064926147
loss is 11.190648078918457, acc1 is 3.125, acc5 is 12.01171875, cma_loss is 10.174659729003906, uma_loss is 1.0159887075424194
loss is 11.007856369018555, acc1 is 3.515625, acc5 is 12.98828125, cma_loss is 10.041851043701172, uma_loss is 0.9660049676895142
loss is 10.779061317443848, acc1 is 2.9296875, acc5 is 13.0859375, cma_loss is 9.688247680664062, uma_loss is 1.090813398361206
loss is 11.108986854553223, acc1 is 2.63671875, acc5 is 13.4765625, cma_loss is 10.136505126953125, uma_loss is 0.9724817276000977
loss is 11.01338005065918, acc1 is 3.41796875, acc5 is 12.01171875, cma_loss is 10.049898147583008, uma_loss is 0.9634822607040405
loss is 11.085371017456055, acc1 is 3.515625, acc5 is 12.890625, cma_loss is 10.120447158813477, uma_loss is 0.9649238586425781
loss is 10.884064674377441, acc1 is 3.7109375, acc5 is 13.57421875, cma_loss is 9.971630096435547, uma_loss is 0.9124349355697632
loss is 11.000487327575684, acc1 is 3.61328125, acc5 is 12.01171875, cma_loss is 10.09909439086914, uma_loss is 0.9013930559158325
loss is 10.84006118774414, acc1 is 3.41796875, acc5 is 13.96484375, cma_loss is 9.893117904663086, uma_loss is 0.9469435214996338
loss is 10.674274444580078, acc1 is 3.515625, acc5 is 14.55078125, cma_loss is 9.796993255615234, uma_loss is 0.8772807121276855
loss is 10.686687469482422, acc1 is 3.515625, acc5 is 14.35546875, cma_loss is 9.82711410522461, uma_loss is 0.8595738410949707
loss is 10.809123039245605, acc1 is 4.296875, acc5 is 15.13671875, cma_loss is 9.904003143310547, uma_loss is 0.9051198959350586
loss is 10.59394645690918, acc1 is 3.7109375, acc5 is 16.30859375, cma_loss is 9.760967254638672, uma_loss is 0.832979679107666
loss is 10.77951431274414, acc1 is 4.1015625, acc5 is 15.52734375, cma_loss is 9.895681381225586, uma_loss is 0.8838331699371338
loss is 10.907386779785156, acc1 is 3.22265625, acc5 is 12.79296875, cma_loss is 10.012855529785156, uma_loss is 0.8945308327674866
loss is 10.465544700622559, acc1 is 5.2734375, acc5 is 15.8203125, cma_loss is 9.603683471679688, uma_loss is 0.8618614077568054
loss is 10.683152198791504, acc1 is 3.80859375, acc5 is 15.33203125, cma_loss is 9.876928329467773, uma_loss is 0.8062235116958618
loss is 10.517332077026367, acc1 is 4.1015625, acc5 is 15.91796875, cma_loss is 9.693927764892578, uma_loss is 0.8234047293663025
