/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 11.96014404296875, acc1 is 1.46484375, acc5 is 6.93359375, cma_loss is 10.757808685302734, uma_loss is 1.2023358345031738
loss is 11.603229522705078, acc1 is 1.7578125, acc5 is 9.1796875, cma_loss is 10.543376922607422, uma_loss is 1.0598526000976562
loss is 11.63962173461914, acc1 is 1.3671875, acc5 is 6.8359375, cma_loss is 10.507396697998047, uma_loss is 1.1322249174118042
loss is 11.671229362487793, acc1 is 1.3671875, acc5 is 8.10546875, cma_loss is 10.476577758789062, uma_loss is 1.194651484489441
loss is 11.527261734008789, acc1 is 2.05078125, acc5 is 10.05859375, cma_loss is 10.419971466064453, uma_loss is 1.1072900295257568
loss is 11.571516036987305, acc1 is 1.953125, acc5 is 8.49609375, cma_loss is 10.533382415771484, uma_loss is 1.038133978843689
loss is 11.440661430358887, acc1 is 2.34375, acc5 is 9.86328125, cma_loss is 10.42593765258789, uma_loss is 1.0147241353988647
loss is 11.705012321472168, acc1 is 2.05078125, acc5 is 7.2265625, cma_loss is 10.684215545654297, uma_loss is 1.0207968950271606
loss is 11.351219177246094, acc1 is 1.953125, acc5 is 7.8125, cma_loss is 10.387054443359375, uma_loss is 0.9641650915145874
loss is 11.344420433044434, acc1 is 1.953125, acc5 is 8.88671875, cma_loss is 10.393367767333984, uma_loss is 0.9510523080825806
loss is 11.430291175842285, acc1 is 2.1484375, acc5 is 8.7890625, cma_loss is 10.425819396972656, uma_loss is 1.004471778869629
loss is 11.355469703674316, acc1 is 1.46484375, acc5 is 8.88671875, cma_loss is 10.350028991699219, uma_loss is 1.0054409503936768
loss is 11.116189956665039, acc1 is 2.63671875, acc5 is 10.05859375, cma_loss is 10.168888092041016, uma_loss is 0.9473015069961548
loss is 11.027545928955078, acc1 is 2.05078125, acc5 is 10.44921875, cma_loss is 10.081893920898438, uma_loss is 0.9456521272659302
loss is 11.27381706237793, acc1 is 2.05078125, acc5 is 9.765625, cma_loss is 10.394233703613281, uma_loss is 0.879583477973938
loss is 11.198668479919434, acc1 is 2.1484375, acc5 is 10.83984375, cma_loss is 10.213790893554688, uma_loss is 0.9848775863647461
loss is 11.174216270446777, acc1 is 2.9296875, acc5 is 9.765625, cma_loss is 10.233436584472656, uma_loss is 0.9407796263694763
loss is 10.73863697052002, acc1 is 3.61328125, acc5 is 12.890625, cma_loss is 9.821678161621094, uma_loss is 0.9169590473175049
loss is 11.189024925231934, acc1 is 3.41796875, acc5 is 10.83984375, cma_loss is 10.253841400146484, uma_loss is 0.9351836442947388
loss is 11.09652042388916, acc1 is 3.3203125, acc5 is 12.109375, cma_loss is 10.206228256225586, uma_loss is 0.8902922868728638
loss is 10.980649948120117, acc1 is 3.125, acc5 is 12.3046875, cma_loss is 10.067401885986328, uma_loss is 0.9132485389709473
loss is 10.920823097229004, acc1 is 3.02734375, acc5 is 13.57421875, cma_loss is 10.046295166015625, uma_loss is 0.8745282888412476
loss is 11.037246704101562, acc1 is 3.3203125, acc5 is 12.109375, cma_loss is 10.168601989746094, uma_loss is 0.8686442375183105
loss is 11.080865859985352, acc1 is 2.9296875, acc5 is 14.35546875, cma_loss is 10.161018371582031, uma_loss is 0.9198471307754517
loss is 10.814947128295898, acc1 is 2.9296875, acc5 is 12.890625, cma_loss is 9.946409225463867, uma_loss is 0.8685380220413208
loss is 10.812775611877441, acc1 is 2.24609375, acc5 is 12.3046875, cma_loss is 9.981437683105469, uma_loss is 0.8313381671905518
loss is 10.99542236328125, acc1 is 3.02734375, acc5 is 10.7421875, cma_loss is 10.0985107421875, uma_loss is 0.8969120979309082
loss is 10.696276664733887, acc1 is 3.80859375, acc5 is 15.0390625, cma_loss is 9.874137878417969, uma_loss is 0.8221384286880493
